Month,Net Revenue ($M),Total Cost ($M),Net Profit ($M),EBITDA ($M),EBITDA Margin (%),Inflation Adjusted Profit ($M),Cumulative Profit ($M),Required Investment ($M),Active Users (K),New Users (K),CAC,LTV,LTV/CAC Ratio
1,0.007,0.11625,-0.10925,-0.00925,-132.1,-0.10925,-0.10925,0.11625,0.5,0.5,20.59406583630049,135.68,6.588305635152495
2,0.008176,0.01746,-0.009284,-0.009284,-113.6,-0.009253705775270732,-0.118534,0.01746,0.584,0.549,20.59406583630049,135.40983606557376,6.575187102048166
3,0.013818,0.0195675,-0.0057495,-0.005749500000000002,-41.6,-0.005712039321222055,-0.1242835,0.0195675,0.987,0.604,20.59406583630049,135.26490066225165,6.568149375526644
4,0.01687,0.021322500000000005,-0.004452500000000003,-0.004452500000000003,-26.4,-0.004409055780893774,-0.128736,0.021322500000000005,1.205,0.665,20.59406583630049,135.06766917293234,6.558572272545276
5,0.022302,0.023623500000000002,-0.0013215000000000037,-0.0013215000000000037,-5.9,-0.0013043357195493715,-0.1300575,0.023623500000000002,1.593,0.731,20.59406583630049,134.71956224350205,6.5416690086537574
6,0.027972,0.026100100000000005,0.0018718999999999943,0.0018718999999999943,6.7,0.001841558076500699,-0.1281856,0.026100100000000005,1.998,0.804,20.59406583630049,134.40298507462686,6.526296756695761
7,0.033992,0.028785610000000007,0.005206389999999992,0.005206389999999992,15.3,0.0051052854241104405,-0.12297921000000002,0.028785610000000007,2.428,0.884,20.59406583630049,134.02714932126696,6.508047045524234
8,0.040236,0.03167217100000001,0.008563828999999986,0.008563828999999986,21.3,0.008370123620642662,-0.11441538100000004,0.03167217100000001,2.874,0.973,20.59406583630049,133.54573484069886,6.484670676603458
9,0.046788,0.034790888100000014,0.011997111899999989,0.011997111899999986,25.6,0.01168748725016148,-0.10241826910000004,0.034790888100000014,3.342,1.07,20.59406583630049,133.02803738317758,6.459532490601898
10,0.053676,0.03816447691000002,0.01551152308999998,0.01551152308999998,28.9,0.015061888878076406,-0.08690674601000006,0.03816447691000002,3.834,1.177,20.59406583630049,132.4553950722175,6.431726310146231
11,0.06097,0.04182492460100002,0.01914507539899998,0.01914507539899998,31.4,0.018529454397915278,-0.06776167061100008,0.04182492460100002,4.355,1.294,20.59406583630049,131.79289026275117,6.3995566155005745
12,0.068782,0.04581366706110003,0.02296833293889997,0.02296833293889997,33.4,0.022157235850166178,-0.044793337672100114,0.04581366706110003,4.913,1.423,20.59406583630049,130.99086437104708,6.360612101188574
13,0.077112,0.050154283767210026,0.02695771623278997,0.02695771623278997,35.0,0.02592088099306726,-0.01783562143931014,0.050154283767210026,5.508,1.565,20.59406583630049,130.05750798722045,6.315290483240677
14,0.086184,0.054912712143931036,0.03127128785606897,0.03127128785606897,36.3,0.0299704306244261,0.013435666416758824,0.0,6.156,1.721,20.59406583630049,129.01801278326553,6.264815010732348
15,0.095928,0.06010498335832414,0.03582301664167586,0.03582301664167586,37.3,0.034220781683698985,0.049258683058434685,0.0,6.852,1.893,20.59406583630049,127.83940834653988,6.207584717011126
16,0.106512,0.06579248169415657,0.04071951830584344,0.04071951830584344,38.2,0.03877135308201716,0.08997820136427813,0.0,7.608,2.081,20.59406583630049,126.49687650168188,6.142394489130454
17,0.118076,0.07203472986357222,0.046041270136427774,0.046041270136427774,39.0,0.04369544603478297,0.1360194715007059,0.0,8.434,2.289,20.59406583630049,124.96286588029707,6.067906496638905
18,0.130634,0.07887220284992945,0.051761797150070545,0.051761797150070545,39.6,0.048964213446181536,0.18778126865077643,0.0,9.331,2.516,20.59406583630049,123.19554848966614,5.982089669370356
19,0.144368,0.0863791731349224,0.0579888268650776,0.0579888268650776,40.2,0.054675695221039926,0.24577009551585405,0.0,10.312,2.767,20.59406583630049,121.19985543910373,5.885183450538877
20,0.159362,0.09461659044841464,0.06474540955158535,0.06474540955158535,40.6,0.06084705013555224,0.3105155050674394,0.0,11.383,3.042,20.59406583630049,118.95463510848126,5.776160766603153
21,0.17577,0.10366249949325611,0.07210750050674389,0.07210750050674389,41.0,0.06754474133170829,0.38262300557418333,0.0,12.555,3.344,20.59406583630049,116.36363636363636,5.650347886065604
22,0.193788,0.11360749944258172,0.08018050055741827,0.08018050055741827,41.4,0.07486182657794957,0.4628035061316016,0.0,13.842,3.676,20.59406583630049,113.42763873775843,5.507782661247164
23,0.213458,0.1245202493868399,0.0889377506131601,0.08893775061316009,41.7,0.08276721699036214,0.5517412567447617,0.0,15.247,4.041,20.59406583630049,110.08661222469685,5.345550174490108
24,0.235032,0.1365130243255239,0.0985189756744761,0.0985189756744761,41.9,0.0913845240055871,0.6502602324192378,0.0,16.788,4.441,20.59406583630049,106.29587930646251,5.161480989300239
25,0.258748,0.1497023267580763,0.10904567324192371,0.10904567324192371,42.1,0.10081885469852403,0.7593059056611615,0.0,18.482,4.881,20.59406583630049,101.99549272690022,4.952664206167395
26,0.28469,0.16418455943388394,0.12050544056611608,0.12050544056611608,42.3,0.11105050332726818,0.8798113462272775,0.0,20.335,5.364,20.59406583630049,97.09545115585384,4.714729569559151
27,0.31325,0.18011926537727233,0.13313073462272768,0.13313073462272768,42.5,0.12228487951682543,1.0129420808500051,0.0,22.375,5.894,20.59406583630049,91.53036986766203,4.444502149076576
28,0.344498,0.1976174419149996,0.14688055808500042,0.14688055808500042,42.6,0.13447430257533782,1.1598226389350055,0.0,24.607,6.476,20.59406583630049,85.20382952439778,4.137300045637989
29,0.378798,0.21685243610649957,0.16194556389350043,0.16194556389350043,42.8,0.14778304055989752,1.321768202828506,0.0,27.057,7.114,20.59406583630049,78.01236997469778,3.7880994746160277
30,0.416514,0.23800842971714953,0.17850557028285047,0.17850557028285047,42.9,0.16236329995313506,1.5002737731113565,0.0,29.751,7.815,20.59406583630049,69.8426103646833,3.3913949251135245
31,0.4578,0.2612440226888645,0.1965559773111355,0.1965559773111355,42.9,0.17819803350854488,1.6968297504224918,0.0,32.7,8.583,20.59406583630049,60.63381102178725,2.9442370197200205
32,0.503132,0.2867884249577509,0.21634357504224905,0.21634357504224905,43.0,0.19549750037330876,1.913173325464741,0.0,35.938,9.425,20.59406583630049,50.773474801061006,2.4654419969642056
33,0.552874,0.31486526745352605,0.23800873254647398,0.23800873254647398,43.0,0.21437328029946837,2.151182058011215,0.0,39.491,10.349,20.59406583630049,39.99806744613006,1.942213245508168
34,0.607376,0.3457115441988787,0.2616644558011213,0.2616644558011213,43.1,0.23491083549970843,2.4128465138123363,0.0,43.384,11.36,20.59406583630049,35.20070422535211,1.7092644310821312
35,0.667212,0.3796216986187666,0.28759030138123337,0.28759030138123337,43.1,0.2573434434871553,2.7004368151935694,0.0,47.658,12.469,20.59406583630049,21.398668698371964,1.0390696460071147
36,0.73269,0.4168618684806433,0.3158281315193567,0.3158281315193567,43.1,0.28168922699797355,3.016264946712926,0.0,52.335,13.682,20.59406583630049,20.0,0.9711535429175258
